x0	[16244, 16310, 16278, 16420, 16646, 16336, 16297, 16468, 16390, 16468, 16297, 16336, 16646, 16420, 16278, 16310]
x1	[16082, 16556, 15990, 16367, 16549, 16513, 16452, 16504, 16200, 16504, 16452, 16513, 16549, 16367, 15990, 16556]
x2	[16226, 16519, 16313, 16322, 16537, 16542, 16439, 16209, 16156, 16209, 16439, 16542, 16537, 16322, 16313, 16519]
x3	[16474, 16297, 16399, 16196, 16391, 16399, 16523, 16388, 16484, 16388, 16523, 16399, 16391, 16196, 16399, 16297]
x4	[16410, 16266, 16368, 16247, 16441, 16539, 16376, 16368, 16524, 16368, 16376, 16539, 16441, 16247, 16368, 16266]
x5	[16400, 16206, 16288, 16294, 16421, 16532, 16543, 16388, 16400, 16388, 16543, 16532, 16421, 16294, 16288, 16206]
x6	[16382, 16374, 16283, 16341, 16298, 16345, 16565, 16376, 16598, 16376, 16565, 16345, 16298, 16341, 16283, 16374]
x7	[16266, 16511, 16339, 16336, 16315, 16550, 16281, 16393, 16428, 16393, 16281, 16550, 16315, 16336, 16339, 16511]
x8	[16330, 16332, 16463, 16589, 16391, 16320, 16481, 16139, 16384, 16139, 16481, 16320, 16391, 16589, 16463, 16332]
x9	[16464, 16423, 16191, 16427, 16343, 16452, 16478, 16460, 16132, 16460, 16478, 16452, 16343, 16427, 16191, 16423]
x10	[16190, 16324, 16420, 16537, 16396, 16390, 16336, 16451, 16246, 16451, 16336, 16390, 16396, 16537, 16420, 16324]
x11	[16430, 16408, 16267, 16543, 16091, 16521, 16418, 16358, 16502, 16358, 16418, 16521, 16091, 16543, 16267, 16408]
x12	[16104, 16366, 16325, 16490, 16525, 16387, 16354, 16367, 16412, 16367, 16354, 16387, 16525, 16490, 16325, 16366]
x13	[16314, 16289, 16206, 16228, 16452, 16396, 16527, 16511, 16612, 16511, 16527, 16396, 16452, 16228, 16206, 16289]
x14	[16664, 16410, 16426, 16389, 16266, 16462, 16186, 16459, 16284, 16459, 16186, 16462, 16266, 16389, 16426, 16410]
x15	[16424, 16456, 16509, 16364, 16159, 16253, 16568, 16239, 16624, 16239, 16568, 16253, 16159, 16364, 16509, 16456]
x16	[16282, 16399, 16416, 16280, 16597, 16586, 16323, 16301, 16058, 16301, 16323, 16586, 16597, 16280, 16416, 16399]
x17	[16528, 16227, 16300, 16346, 16634, 16303, 16385, 16432, 16362, 16432, 16385, 16303, 16634, 16346, 16300, 16227]
Total distribution: [294214, 294673, 293781, 294716, 295452, 295826, 295532, 294811, 294796, 294811, 295532, 295826, 295452, 294716, 293781, 294673]
