x0	1	[4092, 4086, 4100, 4040, 4208, 4019, 4096, 4127, 4092, 4127, 4096, 4019, 4208, 4040, 4100, 4086]
x0	2	[4098, 4075, 4111, 4101, 4008, 4154, 4038, 4118, 4228, 4118, 4038, 4154, 4008, 4101, 4111, 4075]
x0	3	[4130, 4076, 4197, 4059, 4194, 4104, 4117, 3981, 3950, 3981, 4117, 4104, 4194, 4059, 4197, 4076]
x0	4	[4074, 4197, 4001, 4054, 4018, 4244, 4104, 4125, 3976, 4125, 4104, 4244, 4018, 4054, 4001, 4197]
x0	5	[4136, 4137, 4037, 4097, 4085, 4123, 4124, 4031, 4132, 4031, 4124, 4123, 4085, 4097, 4037, 4137]
x0	6	[4058, 4068, 4111, 4172, 4178, 4003, 4082, 4085, 4080, 4085, 4082, 4003, 4178, 4172, 4111, 4068]
x0	7	[4020, 4212, 4010, 4173, 3937, 4261, 4146, 4018, 4002, 4018, 4146, 4261, 3937, 4173, 4010, 4212]
x0	8	[4172, 4080, 4056, 4028, 4262, 4060, 4130, 4032, 4068, 4032, 4130, 4060, 4262, 4028, 4056, 4080]
x0	9	[4020, 4212, 4010, 4173, 3937, 4261, 4146, 4018, 4002, 4018, 4146, 4261, 3937, 4173, 4010, 4212]
x0	10	[4058, 4068, 4111, 4172, 4178, 4003, 4082, 4085, 4080, 4085, 4082, 4003, 4178, 4172, 4111, 4068]
x0	11	[4136, 4137, 4037, 4097, 4085, 4123, 4124, 4031, 4132, 4031, 4124, 4123, 4085, 4097, 4037, 4137]
x0	12	[4074, 4197, 4001, 4054, 4018, 4244, 4104, 4125, 3976, 4125, 4104, 4244, 4018, 4054, 4001, 4197]
x0	13	[4130, 4076, 4197, 4059, 4194, 4104, 4117, 3981, 3950, 3981, 4117, 4104, 4194, 4059, 4197, 4076]
x0	14	[4098, 4075, 4111, 4101, 4008, 4154, 4038, 4118, 4228, 4118, 4038, 4154, 4008, 4101, 4111, 4075]
x0	15	[4092, 4086, 4100, 4040, 4208, 4019, 4096, 4127, 4092, 4127, 4096, 4019, 4208, 4040, 4100, 4086]
x1	1	[4028, 4120, 4111, 4045, 4171, 4140, 4069, 4103, 3990, 4103, 4069, 4140, 4171, 4045, 4111, 4120]
x1	2	[4040, 4117, 4223, 4012, 3965, 4082, 4180, 4153, 4032, 4153, 4180, 4082, 3965, 4012, 4223, 4117]
x1	3	[3920, 4136, 4078, 4028, 4123, 4133, 4162, 4119, 4058, 4119, 4162, 4133, 4123, 4028, 4078, 4136]
x1	4	[3982, 4231, 4242, 3920, 3965, 4128, 4023, 4197, 4142, 4197, 4023, 4128, 3965, 3920, 4242, 4231]
x1	5	[4108, 4074, 4126, 4074, 4060, 4145, 4088, 4171, 3952, 4171, 4088, 4145, 4060, 4074, 4126, 4074]
x1	6	[4026, 4141, 4228, 4131, 4002, 4021, 4071, 4135, 4052, 4135, 4071, 4021, 4002, 4131, 4228, 4141]
x1	7	[4002, 4257, 3694, 4304, 3944, 4301, 3918, 4450, 3798, 4450, 3918, 4301, 3944, 4304, 3694, 4257]
x1	8	[4736, 3574, 4692, 3540, 4638, 3514, 4652, 3556, 4468, 3556, 4652, 3514, 4638, 3540, 4692, 3574]
x1	9	[4002, 4257, 3694, 4304, 3944, 4301, 3918, 4450, 3798, 4450, 3918, 4301, 3944, 4304, 3694, 4257]
x1	10	[4026, 4141, 4228, 4131, 4002, 4021, 4071, 4135, 4052, 4135, 4071, 4021, 4002, 4131, 4228, 4141]
x1	11	[4108, 4074, 4126, 4074, 4060, 4145, 4088, 4171, 3952, 4171, 4088, 4145, 4060, 4074, 4126, 4074]
x1	12	[3982, 4231, 4242, 3920, 3965, 4128, 4023, 4197, 4142, 4197, 4023, 4128, 3965, 3920, 4242, 4231]
x1	13	[3920, 4136, 4078, 4028, 4123, 4133, 4162, 4119, 4058, 4119, 4162, 4133, 4123, 4028, 4078, 4136]
x1	14	[4040, 4117, 4223, 4012, 3965, 4082, 4180, 4153, 4032, 4153, 4180, 4082, 3965, 4012, 4223, 4117]
x1	15	[4028, 4120, 4111, 4045, 4171, 4140, 4069, 4103, 3990, 4103, 4069, 4140, 4171, 4045, 4111, 4120]
x2	1	[3928, 3918, 4452, 4263, 3962, 4130, 3950, 4185, 3888, 4185, 3950, 4130, 3962, 4263, 4452, 3918]
x2	2	[3834, 4120, 3978, 4340, 4060, 4081, 3980, 4303, 3978, 4303, 3980, 4081, 4060, 4340, 3978, 4120]
x2	3	[4150, 4080, 4110, 4088, 4043, 4220, 4100, 4076, 3952, 4076, 4100, 4220, 4043, 4088, 4110, 4080]
x2	4	[4220, 3879, 4346, 3988, 4330, 3712, 4520, 3797, 4172, 3797, 4520, 3712, 4330, 3988, 4346, 3879]
x2	5	[3906, 4287, 4059, 4034, 4285, 4028, 3775, 4023, 4648, 4023, 3775, 4028, 4285, 4034, 4059, 4287]
x2	6	[3992, 4091, 4134, 4137, 4078, 4136, 4066, 4100, 4060, 4100, 4066, 4136, 4078, 4137, 4134, 4091]
